Date,Close,Volume,Open,High,Low,month,day,year
06-10-2020,127.65,5978001,128.84,130.44,127.2654,10,6,2020
05-10-2020,127.91,8270269,127.07,128.5,126.45,10,5,2020
02-10-2020,126.64,7491067,124.35,126.8,123.59,10,2,2020
01-10-2020,126.64,5637175,127.73,127.73,125.31,10,1,2020
30-09-2020,125.54,8699679,126.1,127.28,125.1647,9,30,2020
29-09-2020,126.35,7799668,124.34,127.1,123.96,9,29,2020
28-09-2020,124.32,7524978,125.16,126.19,123.885,9,28,2020
25-09-2020,124.23,9182784,123.65,124.75,122.27,9,25,2020
24-09-2020,124.75,13485770,126.44,127.54,123.3,9,24,2020
23-09-2020,127.11,37822650,130.22,130.38,125.26,9,23,2020
22-09-2020,116.87,13007210,113.1,117.2,112.85,9,22,2020
21-09-2020,113.37,8486367,112.95,114.06,111.74,9,21,2020
18-09-2020,114.66,12876570,115.43,117.91,114.49,9,18,2020
17-09-2020,116.36,7376390,117.34,118.55,115.8,9,17,2020
16-09-2020,118.59,7027588,118.31,119.69,118.16,9,16,2020
15-09-2020,119.27,5934181,119.7,120.48,119.18,9,15,2020
14-09-2020,119.28,4990315,118.5,119.93,118.17,9,14,2020
11-09-2020,118,8565234,116.76,119.25,116.42,9,11,2020
10-09-2020,114.79,5033067,115.9,118.227,113.9975,9,10,2020
09-09-2020,114.9,5997890,113.02,116.21,112.83,9,9,2020
08-09-2020,112.72,5300108,111.29,113.84,110.54,9,8,2020
04-09-2020,112.4,5157736,112.96,113.75,110.21,9,4,2020
03-09-2020,112.85,7264372,116.8,116.9,112,9,3,2020
02-09-2020,116.8,6775355,115.06,117.41,114.5,9,2,2020
01-09-2020,114.84,4913969,112,114.9,111.83,9,1,2020
31-08-2020,111.89,3519833,112.14,112.52,111.14,8,31,2020
28-08-2020,112.29,3731407,111.01,112.67,110.57,8,28,2020
27-08-2020,110.84,4391019,111.99,112.79,110.5,8,27,2020
26-08-2020,111.53,4477854,111.92,112.09,111.29,8,26,2020
25-08-2020,111.51,4380921,112,112.28,111.09,8,25,2020
24-08-2020,111.83,8173259,110,112,109.9,8,24,2020
21-08-2020,109.75,5563994,108,109.77,107.75,8,21,2020
20-08-2020,108.01,4304290,107.56,108.74,107.35,8,20,2020
19-08-2020,108.39,9508077,107.69,109.69,107.35,8,19,2020
18-08-2020,106.97,5023006,106.46,107,105.47,8,18,2020
17-08-2020,105.66,3017135,106.5,106.5,105.115,8,17,2020
14-08-2020,106.43,2985847,106.12,106.78,105.46,8,14,2020
13-08-2020,106.52,4281727,105.3,106.99,105.2,8,13,2020
12-08-2020,105.22,4715042,105.72,105.89,103.38,8,12,2020
11-08-2020,105.12,5400716,106.85,107.3299,104.86,8,11,2020
10-08-2020,105.41,12677960,102.47,106.83,102.4,8,10,2020
07-08-2020,101.86,5545605,101,101.91,99.89,8,7,2020
06-08-2020,100.45,4061160,100.64,101.18,100.03,8,6,2020
05-08-2020,100.94,7227111,97.12,101.25,97.08,8,5,2020
04-08-2020,97.33,7539319,97.79,97.95,96.55,8,4,2020
03-08-2020,98.33,5474074,98.03,99.29,97.82,8,3,2020
31-07-2020,97.61,5510394,96.89,97.65,96.3,7,31,2020
30-07-2020,96.82,4018367,96.47,97.23,95.7965,7,30,2020
29-07-2020,96.97,6872745,96.43,97.55,96.295,7,29,2020
28-07-2020,96.27,3822584,96.95,97.47,96.16,7,28,2020
27-07-2020,97.21,4273442,96.96,98.4,96.89,7,27,2020
24-07-2020,98.43,5638435,98.14,99.36,97.7007,7,24,2020
23-07-2020,98.3,4530464,98.35,100.18,97.72,7,23,2020
22-07-2020,98.91,4097303,98.16,98.99,97.91,7,22,2020
21-07-2020,98.36,5857099,96.92,99,96.1,7,21,2020
20-07-2020,95.65,5822281,95.5,96.35,95.11,7,20,2020
17-07-2020,96.28,7406714,96.95,97.23,96.04,7,17,2020
16-07-2020,97.26,3595025,97.5,98.23,97.04,7,16,2020
15-07-2020,98.54,5343651,98.41,99.04,97.31,7,15,2020
14-07-2020,96.76,4850623,96.33,97.25,95.51,7,14,2020
13-07-2020,96.46,4845621,98.25,98.94,96.26,7,13,2020
10-07-2020,97.99,3967111,97,98.05,95.72,7,10,2020
09-07-2020,96.99,6282261,98.55,98.91,96.37,7,9,2020
08-07-2020,98.84,5634590,97.5,98.98,96.96,7,8,2020
07-07-2020,97.07,6352887,99.22,99.55,96.92,7,7,2020
06-07-2020,99.95,4995015,99.62,100.03,99.04,7,6,2020
02-07-2020,98.43,5355296,98.78,99.66,98.02,7,2,2020
01-07-2020,97.4,5733768,98.5,98.7152,97.11,7,1,2020
30-06-2020,98.05,9065532,96,98.3,95.64,6,30,2020
29-06-2020,95.87,9624172,93.7,96,93.7,6,29,2020
26-06-2020,93.67,24918520,98.5,98.78,93.57,6,26,2020
25-06-2020,101.4,11531400,99.23,101.68,98.8,6,25,2020
24-06-2020,100.08,8611585,100.94,101.85,98.09,6,24,2020
23-06-2020,101.92,6498975,101.15,102.22,100.71,6,23,2020
22-06-2020,99.51,6918184,96.85,99.54,96.0162,6,22,2020
19-06-2020,95.78,10302900,99.97,99.98,95.78,6,19,2020
18-06-2020,98.45,4392371,98.69,99.42,97.85,6,18,2020
17-06-2020,99.21,3405545,99,100.24,98.89,6,17,2020
16-06-2020,99.04,6056391,101.25,101.34,97.72,6,16,2020
15-06-2020,97.84,8647885,93.9,98.08,93.44,6,15,2020
12-06-2020,96.43,7416393,97.8,97.8,94.7401,6,12,2020
11-06-2020,95.17,10976920,98.38,98.99,94.88,6,11,2020
10-06-2020,102.12,5194156,103,103.15,101.7127,6,10,2020
09-06-2020,102.63,5385911,102.82,103.77,102.43,6,9,2020
08-06-2020,104.29,6165363,103.05,104.3,102.71,6,8,2020
05-06-2020,102.71,8363601,104,104.69,102.125,6,5,2020
04-06-2020,101.28,8775038,103.66,103.9033,100.47,6,4,2020
03-06-2020,104.11,5867680,101.26,104.55,101.12,6,3,2020
02-06-2020,100.74,10798730,99.42,100.88,98.82,6,2,2020
